word,id,frequency,intensity
iluminar,heroes_s2_11_.segment153.word2,-29.3786,-0.9958
to,heroes_s2_11_.segment153.word2,-29.9109,-0.2605
secundarios,heroes_s2_11_.segment171.word5,-21.6029,-2.0189
effects,heroes_s2_11_.segment171.word5,-20.7912,-0.1535
vale,heroes_s2_11_.segment248.word1,-33.2549,-2.6592
fine,heroes_s2_11_.segment248.word1,-26.045,-0.9097
back,heroes_s3_10_.segment30.word6,21.6058,-0.191
tráemela,heroes_s3_10_.segment30.word6,19.4111,0.875
take,heroes_s3_10_.segment314.word11,-25.7419,0.4358
mí,heroes_s3_10_.segment314.word11,-22.1094,-1.0735
to,heroes_s3_10_.segment77.word10,16.9615,-1.6226
pasar,heroes_s3_10_.segment77.word10,20.6314,-0.9175
arthur,heroes_s3_10_.segment9.word1,-36.171,1.368
arthur's,heroes_s3_10_.segment9.word1,-39.9198,0.9589
rápido,heroes_s3_11_.segment21.word4,-26.2711,2.3068
go,heroes_s3_11_.segment21.word4,19.6761,3.5989
esta,heroes_s3_12_.segment15.word9,-26.7193,-0.0785
i,heroes_s3_12_.segment15.word9,-28.0225,-1.3411
nuca,heroes_s3_12_.segment24.word6,-23.9057,-0.982
of,heroes_s3_12_.segment24.word6,-28.0225,-1.3411
ahora,heroes_s3_12_.segment7.word2,19.5765,2.1228
i,heroes_s3_12_.segment7.word2,20.7249,3.4101
hecho,heroes_s3_12_.segment9.word3,-23.0611,1.5981
you,heroes_s3_12_.segment9.word3,-30.1894,0.9326
consejo,heroes_s3_14_.segment64.word5,22.3046,-0.1116
your,heroes_s3_14_.segment64.word5,21.241999999999997,-1.5696
aquí,heroes_s3_16_.segment130.word11,15.9382,-0.1409
happened,heroes_s3_16_.segment130.word11,26.5259,0.8488
operation,heroes_s3_16_.segment174.word5,-20.7839,-0.5322
proyecto,heroes_s3_16_.segment174.word5,-21.872,-1.0992
of,heroes_s3_16_.segment186.word6,21.4938,0.5953
en,heroes_s3_16_.segment186.word6,-31.8131,-0.3878
way,heroes_s3_16_.segment301.word9,-31.3756,0.642
persona,heroes_s3_16_.segment301.word9,-29.9411,0.0553
