word,id,frequency,intensity
no,heroes_s2_11_.segment113.word1,23.8484,1.3902
no,heroes_s2_11_.segment113.word1,22.1764,2.6661
i,heroes_s2_11_.segment21.word1,25.2376,1.0471
creo,heroes_s2_11_.segment21.word1,21.4915,1.8496
hola,heroes_s2_11_.segment22.word1,23.2772,0.9394
hello,heroes_s2_11_.segment22.word1,-28.3168,0.1644
dios,heroes_s2_11_.segment347.word3,23.6074,-0.22
oh,heroes_s2_11_.segment347.word3,19.3666,-0.9583
mio,heroes_s2_11_.segment347.word4,23.546,-0.22
my,heroes_s2_11_.segment347.word4,25.065,0.4974
mira,heroes_s2_11_.segment351.word1,-37.3852,-0.1349
look,heroes_s2_11_.segment351.word1,-28.0508,-0.1427
on,heroes_s2_11_.segment371.word2,16.0753,1.4467
vamos,heroes_s2_11_.segment371.word2,20.2594,2.5041
he,heroes_s3_10_.segment13.word7,19.4856,1.5971
i've,heroes_s3_10_.segment13.word7,22.7195,0.8079999999999999
todavía,heroes_s3_10_.segment254.word1,-27.761,0.7445
got,heroes_s3_10_.segment254.word1,-26.8258,-0.5285
esto,heroes_s3_10_.segment254.word6,-27.761,0.4583
of,heroes_s3_10_.segment254.word6,-26.8258,0.3161
us,heroes_s3_10_.segment254.word7,-26.8258,0.8572
muñecos,heroes_s3_10_.segment254.word7,-27.761,0.4583
de,heroes_s3_10_.segment254.word8,-27.761,0.4583
what,heroes_s3_10_.segment254.word8,-26.8258,-0.5285
the,heroes_s3_10_.segment254.word9,-26.8258,-0.2424
vudú,heroes_s3_10_.segment254.word9,-21.0843,0.1674
there,heroes_s3_12_.segment45.word1,19.296,0.9326
hola,heroes_s3_12_.segment45.word1,23.4887,-0.3745
take,heroes_s3_14_.segment103.word1,-21.1148,-0.4985
quítale,heroes_s3_14_.segment103.word1,-20.5977,0.0602
sé,heroes_s3_14_.segment27.word3,-26.0463,0.3163
know,heroes_s3_14_.segment27.word3,-25.5282,0.2849
that,heroes_s3_14_.segment27.word4,-23.1638,-0.5738
pero,heroes_s3_14_.segment27.word4,16.555999999999997,0.0204
qué,heroes_s3_14_.segment28.word1,-25.241,0.6073
no,heroes_s3_14_.segment28.word1,17.0999,0.8345
i,heroes_s3_14_.segment29.word6,24.6669,0.7422
quería,heroes_s3_14_.segment29.word6,-23.6123,-1.031
was,heroes_s3_14_.segment29.word7,24.3382,-0.9620000000000001
para,heroes_s3_14_.segment29.word7,23.3508,-0.7191
ve,heroes_s3_16_.segment250.word1,-27.7098,3.207
emergency,heroes_s3_16_.segment250.word1,-23.8994,2.1336
vamos,heroes_s3_16_.segment252.word1,-27.7098,1.7222
move,heroes_s3_16_.segment252.word1,-22.6623,1.3282
sólo,heroes_s3_16_.segment253.word1,-33.9597,1.4307
there's,heroes_s3_16_.segment253.word1,-31.7313,0.9309
only,heroes_s3_16_.segment253.word2,-28.5749,1.7621
son,heroes_s3_16_.segment253.word2,-25.618000000000002,2.189
dos,heroes_s3_16_.segment253.word3,-22.8044,2.189
two,heroes_s3_16_.segment253.word3,-23.5945,1.2124
podemos,heroes_s3_16_.segment253.word4,-25.1161,1.4307
we,heroes_s3_16_.segment253.word4,-23.166999999999998,0.9309
con,heroes_s3_16_.segment253.word5,-21.9597,1.1704
can,heroes_s3_16_.segment253.word5,-22.3424,-0.2432
ellos,heroes_s3_16_.segment253.word6,-22.8044,1.4307
take,heroes_s3_16_.segment253.word6,-22.7498,0.0579
but,heroes_s3_16_.segment288.word5,-23.5221,-1.0746
invencible,heroes_s3_16_.segment288.word5,-20.3957,-0.9349
