word,id,frequency,intensity
dámela,heroes_s2_10_.segment183.word1,23.9705,-2.0698
give,heroes_s2_10_.segment183.word1,-28.6387,0.0345
i'll,heroes_s2_10_.segment226.word1,-21.8432,1.5049
yo,heroes_s2_10_.segment226.word1,-23.4216,0.491
to,heroes_s2_10_.segment244.word2,-27.7767,1.8083
hablar,heroes_s2_10_.segment244.word2,-28.6872,-0.7259
go,heroes_s2_10_.segment251.word4,21.3813,-0.6391
soltar,heroes_s2_10_.segment251.word4,-20.6448,-0.5289
papá,heroes_s2_10_.segment346.word3,-30.4824,-1.1886
you,heroes_s2_10_.segment346.word3,-27.5585,0.6623
yo,heroes_s2_10_.segment369.word1,-24.8422,0.22
we,heroes_s2_10_.segment369.word1,-22.3416,-0.2506
both,heroes_s2_10_.segment369.word2,-21.6883,1.3994
también,heroes_s2_10_.segment369.word2,-24.8422,-0.0443
you,heroes_s2_10_.segment370.word2,-21.8432,1.2405
muy,heroes_s2_10_.segment370.word2,-23.4216,0.491
cure,heroes_s2_11_.segment172.word5,-35.6566,-0.7306
cura,heroes_s2_11_.segment172.word5,-33.8633,-1.7327
hope,heroes_s2_11_.segment173.word2,-32.1398,-1.4188
espero,heroes_s2_11_.segment173.word2,-25.435,-2.3665
es,heroes_s2_11_.segment330.word1,-32.6188,0.3734
where'd,heroes_s2_11_.segment330.word1,-24.8541,0.3001
déjame,heroes_s2_11_.segment373.word1,21.1531,0.5351
let,heroes_s2_11_.segment373.word1,24.6655,-0.3858
and,heroes_s2_11_.segment6.word1,-23.340999999999998,-2.1172
hasta,heroes_s2_11_.segment6.word1,-22.8087,0.368
se,heroes_s3_10_.segment14.word1,21.5722,2.7558
it's,heroes_s3_10_.segment14.word1,16.847,0.8747
up,heroes_s3_10_.segment180.word2,20.7618,0.7903
el,heroes_s3_10_.segment180.word2,17.1299,1.6768
odio,heroes_s3_10_.segment182.word1,17.4058,2.7264
i,heroes_s3_10_.segment182.word1,-35.4088,2.0926
a,heroes_s3_10_.segment182.word2,18.6912,2.9791
hate,heroes_s3_10_.segment182.word2,21.0629,2.5873
los,heroes_s3_10_.segment182.word3,20.8954,2.4699
heroes,heroes_s3_10_.segment182.word3,21.5211,2.3417
controlarlo,heroes_s3_10_.segment186.word4,-20.9158,-0.9409
control,heroes_s3_10_.segment186.word4,-22.5405,-0.8163
of,heroes_s3_10_.segment353.word8,-31.2329,0.8079999999999999
efectos,heroes_s3_10_.segment353.word8,-27.4856,-0.3439
the,heroes_s3_10_.segment353.word9,-26.0653,0.2833
de,heroes_s3_10_.segment353.word9,-22.3395,1.3328
pero,heroes_s3_10_.segment356.word1,24.2102,-0.9409
but,heroes_s3_10_.segment356.word1,-32.8078,-2.2969
mi,heroes_s3_10_.segment394.word1,-23.1827,1.416
my,heroes_s3_10_.segment394.word1,-25.5716,1.3626
padre,heroes_s3_10_.segment394.word2,-23.5999,1.416
father,heroes_s3_10_.segment394.word2,-25.979,0.838
ha,heroes_s3_10_.segment395.word4,-35.1827,1.1434
tell,heroes_s3_10_.segment395.word4,-25.5716,0.2969
you,heroes_s3_10_.segment395.word5,-25.979,-0.2616
dicho,heroes_s3_10_.segment395.word5,-34.3774,0.8664
idea,heroes_s3_10_.segment425.word4,-25.6824,-0.0274
idea,heroes_s3_10_.segment425.word4,25.5642,-1.215
ésta,heroes_s3_10_.segment76.word1,25.8144,1.5971
this,heroes_s3_10_.segment76.word1,27.0888,1.0644
is,heroes_s3_10_.segment76.word2,25.488000000000003,0.8079999999999999
es,heroes_s3_10_.segment76.word2,27.1127,1.5971
claire,heroes_s3_10_.segment76.word3,17.0934,1.3172
claire,heroes_s3_10_.segment76.word3,22.5904,1.3328
bennet,heroes_s3_10_.segment76.word4,21.724,0.2833
bennet,heroes_s3_10_.segment76.word4,24.0413,1.0644
arthur,heroes_s3_10_.segment98.word1,-21.8102,-0.3936
arthur,heroes_s3_10_.segment98.word1,-26.7958,0.1589
aquí,heroes_s3_12_.segment1.word7,-22.6537,0.4986
to,heroes_s3_12_.segment1.word7,-25.2089,0.3916
soy,heroes_s3_12_.segment10.word3,-24.344,-0.982
is,heroes_s3_12_.segment10.word3,-24.3642,0.3916
me,heroes_s3_12_.segment10.word4,-24.3642,1.7138
yo,heroes_s3_12_.segment10.word4,-24.344,-0.982
de,heroes_s3_12_.segment133.word3,-21.9168,0.6918
no,heroes_s3_12_.segment133.word3,-20.3968,0.1854
threaten,heroes_s3_14_.segment100.word5,-26.3246,0.2042
a,heroes_s3_14_.segment100.word5,-29.6296,-0.1592
