word,id,frequency,intensity
poderes,heroes_s2_10_.segment140.word6,0.0,-2.6654
do,heroes_s2_10_.segment140.word6,0.0,-4.7451
como,heroes_s2_10_.segment312.word1,0.0,-2.8745
it's,heroes_s2_10_.segment312.word1,0.0,-3.6318
claire,heroes_s2_10_.segment7.word1,11.7279,2.5011
claire,heroes_s2_10_.segment7.word1,18.3164,2.7137
didn't,heroes_s3_10_.segment102.word4,-14.2157,-2.8263
verdad,heroes_s3_10_.segment102.word4,0.0,-2.9343
o,heroes_s3_10_.segment111.word13,12.1953,2.8276
or,heroes_s3_10_.segment111.word13,2.9794,3.0805
prometo,heroes_s3_10_.segment112.word9,0.0,-4.0055
i,heroes_s3_10_.segment112.word9,0.0,-2.5086
just,heroes_s3_10_.segment113.word2,0.0,-3.4797
favor,heroes_s3_10_.segment113.word2,0.0,-3.284
que,heroes_s3_10_.segment136.word3,0.0,-2.5915
think,heroes_s3_10_.segment136.word3,-10.0097,-3.4797
lo,heroes_s3_10_.segment141.word1,0.0,-2.9975
i,heroes_s3_10_.segment141.word1,0.0,-3.0623
te,heroes_s3_10_.segment189.word1,0.0,-3.7786
this,heroes_s3_10_.segment189.word1,0.0,-4.8264
and,heroes_s3_10_.segment87.word15,-6.6773,-3.2501
podré,heroes_s3_10_.segment87.word15,0.0,-3.5591
respeto,heroes_s3_11_.segment104.word3,0.0,-2.7282
that,heroes_s3_11_.segment104.word3,0.0,-2.8474
come,heroes_s3_11_.segment21.word1,-21.9352,2.9199
vamos,heroes_s3_11_.segment21.word1,15.1435,3.0436
on,heroes_s3_11_.segment21.word2,0.0,3.8195
venga,heroes_s3_11_.segment21.word2,17.4119,3.0436
let's,heroes_s3_11_.segment21.word3,0.0,3.1492
elle,heroes_s3_11_.segment21.word3,16.2453,3.9796
un,heroes_s3_11_.segment78.word3,0.0,-6.3989
were,heroes_s3_11_.segment78.word3,7.2547,2.8314
and,heroes_s3_11_.segment94.word5,-3.26,-2.7689999999999997
y,heroes_s3_11_.segment94.word5,-15.4441,-2.7577
he's,heroes_s3_11_.segment98.word1,0.0,-2.6608
y,heroes_s3_11_.segment98.word1,0.0,-6.3522
tú,heroes_s3_12_.segment35.word17,0.0,-2.944
nathan,heroes_s3_12_.segment35.word17,0.0,-3.9593
nos,heroes_s3_12_.segment6.word1,0.0,3.8432
we're,heroes_s3_12_.segment6.word1,0.0,3.4101
taking,heroes_s3_12_.segment6.word2,-0.8873,3.1777
llevamos,heroes_s3_12_.segment6.word2,-0.2334,2.6319999999999997
le,heroes_s3_12_.segment61.word1,0.0,-3.6210000000000004
the,heroes_s3_12_.segment61.word1,0.0,-3.5756
hago,heroes_s3_14_.segment62.word1,0.0,-2.9797
no,heroes_s3_14_.segment62.word1,-3.55,-2.9104
say,heroes_s3_16_.segment114.word5,0.0,-2.5436
que,heroes_s3_16_.segment114.word5,-6.107,-3.0308
at,heroes_s3_16_.segment47.word19,0.0,-3.8505
pública,heroes_s3_16_.segment47.word19,0.0,-3.6036
