word,id,frequency,intensity
mi,heroes_s2_10_.segment193.word17,-8.0729,-3.0377
after,heroes_s2_10_.segment193.word17,-1.8511,-2.9157
capaces,heroes_s2_10_.segment198.word11,7.9281,-3.3496
of,heroes_s2_10_.segment198.word11,0.0,-3.9653
that,heroes_s2_10_.segment289.word4,0.0,-2.7408
hecho,heroes_s2_10_.segment289.word4,0.0,-2.8177
los,heroes_s2_10_.segment309.word6,0.0,-2.5617
live,heroes_s2_10_.segment309.word6,0.0,-3.4681
he,heroes_s2_11_.segment72.word1,-4.9138,-3.0434
i,heroes_s2_11_.segment72.word1,0.0,-4.1307
first,heroes_s2_11_.segment85.word4,-2.2192,-3.3769
no,heroes_s2_11_.segment85.word4,0.0,-3.5805
a,heroes_s3_10_.segment114.word1,0.0,-5.2106
how,heroes_s3_10_.segment114.word1,-1.6734,-4.0518
responsable,heroes_s3_10_.segment165.word3,4.0308,-2.5211
responsible,heroes_s3_10_.segment165.word3,0.0,-3.2588
hate,heroes_s3_10_.segment182.word2,21.0629,2.5873
a,heroes_s3_10_.segment182.word2,18.6912,2.9791
te,heroes_s3_10_.segment188.word4,0.0,-2.7235
it,heroes_s3_10_.segment188.word4,0.0,-3.0975
no,heroes_s3_10_.segment284.word1,-0.8582,-2.6547
no,heroes_s3_10_.segment284.word1,-2.9453,-3.0623
and,heroes_s3_10_.segment311.word7,0.0,-3.0059
detenerle,heroes_s3_10_.segment311.word7,0.0,-2.6981
no,heroes_s3_10_.segment350.word1,3.5464,2.5997
you,heroes_s3_10_.segment350.word1,3.5172,2.7043
happening,heroes_s3_10_.segment406.word5,-3.6015,-2.9413
pasa,heroes_s3_10_.segment406.word5,0.0,-2.8772
look,heroes_s3_10_.segment86.word1,0.0,2.5283
no,heroes_s3_10_.segment86.word1,0.0,2.6158
mejor,heroes_s3_11_.segment85.word2,-1.8208,-3.0376
day,heroes_s3_11_.segment85.word2,0.0,-2.7115
claire,heroes_s3_12_.segment1.word2,-1.7586,2.9421
a,heroes_s3_12_.segment1.word2,-9.1138,2.8811
gofres,heroes_s3_12_.segment12.word11,0.0,-3.2937
please,heroes_s3_12_.segment12.word11,0.0,-2.6007
qué,heroes_s3_12_.segment93.word1,0.0,-5.279
what,heroes_s3_12_.segment93.word1,0.0,-2.8479
think,heroes_s3_14_.segment16.word6,-7.843999999999999,-3.4748
crees,heroes_s3_14_.segment16.word6,0.0,-3.2762
cuando,heroes_s3_14_.segment71.word1,0.0,-3.9742
when,heroes_s3_14_.segment71.word1,0.0,-3.0088
triste,heroes_s3_16_.segment112.word2,-7.8907,-2.6946
a,heroes_s3_16_.segment112.word2,0.0,-2.8933
to,heroes_s3_16_.segment126.word10,-1.7644,-3.8718
sus,heroes_s3_16_.segment126.word10,0.0,-2.66
he,heroes_s3_16_.segment202.word3,-0.8843,2.5232
me,heroes_s3_16_.segment202.word3,-5.1646,2.6971
