,ENG-SPA_id,Phonemes_ENG,Phonemes_SPA,Total_phonemes_ENG,Total_phonemes_SPA
0,s3_2_seg1,"[('f', 0.78, 0.82), ('m=', 0.82, 0.93), ('w', 1.2, 1.36), ('b', 1.55, 1.6)]","[('p', 0.0, 0.036), ('m', 0.206, 0.246), ('p', 0.246, 0.316), ('B', 1.066, 1.116)]",4,4
1,s3_2_seg2,"[('b', 1.19, 1.22)]",[],1,0
2,s3_2_seg3,"[('w', 0.0, 0.05), ('v', 0.68, 0.85), ('w', 1.28, 1.32), ('p', 1.41, 1.44)]","[('m', 0.546, 0.616), ('p', 0.616, 0.666)]",4,2
3,s3_2_seg4,"[('p', 0.0, 0.03), ('m', 0.38, 0.43), ('m', 0.47, 0.5), ('p', 0.5, 0.53), ('f', 0.99, 1.02)]",[],5,0
4,s3_2_seg5,"[('m', 0.07, 0.17), ('p', 0.17, 0.22), ('p', 0.51, 0.58)]","[('p', 0.196, 0.336), ('p', 0.756, 0.786)]",3,2
5,s3_2_seg6,"[('m', 0.45, 0.51), ('w', 1.07, 1.14), ('m', 1.72, 1.78)]","[('m', 0.406, 0.466), ('m', 0.941, 1.036)]",3,2
6,s3_2_seg7,"[('w', 0.0, 0.03), ('m', 0.58, 0.67)]","[('m', 0.126, 0.166), ('m', 0.456, 0.566)]",2,2
7,s3_2_seg8,"[('p', 0.44, 0.5)]","[('p', 0.576, 0.606)]",1,1
8,s3_2_seg9,"[('v', 0.42, 0.52)]","[('m', 0.236, 0.356), ('B', 0.846, 0.886), ('w', 1.426, 1.496)]",1,3
9,s3_2_seg10,"[('m', 0.82, 0.85), ('f', 1.07, 1.1), ('m', 1.17, 1.2), ('m', 1.2, 1.25)]","[('m', 0.0, 0.106), ('B', 0.436, 0.576)]",4,2
10,s3_2_seg11,[],[],0,0
11,s3_2_seg12,"[('p', 0.43, 0.5), ('v', 1.94, 1.98), ('f', 2.08, 2.13), ('w', 2.21, 2.3)]","[('p', 0.456, 0.506), ('p', 1.266, 1.326), ('m', 1.576, 1.636), ('w', 1.996, 2.046)]",4,4
12,s3_2_seg13,"[('m', 0.04, 0.17), ('m', 2.27, 2.38), ('w', 2.74, 2.81)]","[('B', 0.446, 0.516), ('m', 0.596, 0.666), ('p', 1.226, 1.256), ('m', 1.906, 1.966), ('w', 2.286, 2.336)]",3,5
13,s3_2_seg14,"[('m', 0.0, 0.03), ('b', 0.08, 0.11), ('w', 0.15, 0.21), ('m', 0.6, 0.7)]","[('B', 0.146, 0.196), ('m', 0.376, 0.416), ('F', 0.966, 1.051), ('m', 1.051, 1.086)]",4,4
14,s3_2_seg15,"[('m', 0.55, 0.58), ('b', 0.78, 0.81)]","[('B', 0.536, 0.566), ('B', 0.756, 0.786), ('B', 0.926, 0.966)]",2,3
15,s3_2_seg16,[],"[('m', 0.116, 0.156), ('p', 0.266, 0.366), ('w', 0.366, 0.426), ('B', 0.766, 0.796)]",0,4
16,s3_2_seg17,"[('b', 0.0, 0.03), ('w', 0.59, 0.63), ('m', 1.07, 1.17), ('f', 1.27, 1.3)]","[('p', 0.0, 0.026), ('B', 1.006, 1.066), ('B', 1.356, 1.386)]",4,3
17,s3_2_seg18,"[('v', 0.29, 0.34), ('v', 0.53, 0.57), ('m', 0.57, 0.6), ('b', 1.57, 1.6)]","[('f', 0.296, 0.326), ('m', 0.616, 0.656), ('p', 2.626, 2.666), ('B', 3.426, 3.456)]",4,4
18,s3_2_seg19,[],[],0,0
19,s3_2_seg20,"[('w', 0.33, 0.36)]",[],1,0
20,s3_2_seg21,[],"[('B', 1.936, 1.976), ('p', 5.176, 5.236)]",0,2
21,s3_2_seg22,"[('f', 0.24, 0.27), ('p', 3.12, 3.25)]","[('p', 3.136, 3.176)]",2,1
22,s3_2_seg23,"[('b', 0.11, 0.14), ('p', 0.48, 0.53)]","[('p', 0.456, 0.486)]",2,1
23,s3_2_seg24,"[('b', 1.47, 1.51), ('w', 1.77, 1.8), ('f', 1.9, 2.02), ('v', 2.32, 2.37)]","[('m', 1.256, 1.306), ('p', 1.576, 1.606), ('m', 2.206, 2.256), ('p', 2.256, 2.286)]",4,4
24,s3_2_seg25,"[('m', 0.63, 0.66), ('w', 0.86, 0.97), ('f', 1.03, 1.14), ('w', 1.35, 1.4), ('b', 1.81, 1.86), ('m', 4.57, 4.62)]","[('m', 0.016, 0.096), ('w', 0.326, 0.386), ('m', 0.686, 0.786), ('m', 1.006, 1.036), ('w', 1.286, 1.376), ('p', 2.096, 2.136)]",6,6
25,s3_2_seg26,"[('m', 0.81, 1.73), ('w', 1.73, 1.76), ('p', 2.53, 2.63)]","[('w', 0.726, 0.776), ('p', 2.216, 2.266)]",3,2
26,s3_2_seg27,"[('b', 0.25, 0.29), ('w', 0.77, 0.8), ('p', 1.2, 1.26), ('b', 1.61, 1.64)]","[('p', 0.366, 0.406), ('B', 1.316, 1.366)]",4,2
27,s3_2_seg28,"[('b', 0.42, 0.49), ('w', 0.65, 0.68), ('m', 1.13, 1.2), ('f', 1.2, 1.25), ('m', 1.33, 1.43), ('p', 1.43, 1.46)]","[('b', 0.046, 0.086), ('w', 0.086, 0.186), ('B', 0.276, 0.326), ('p', 0.386, 0.456), ('B', 0.856, 0.896), ('p', 1.276, 1.306)]",6,6
28,s3_2_seg29,"[('m', 0.04, 0.09), ('m', 0.47, 0.51), ('b', 0.91, 0.95), ('v', 1.36, 1.39), ('w', 1.52, 1.66)]","[('m', 0.796, 0.866), ('p', 1.126, 1.196), ('B', 1.516, 1.566), ('m', 1.816, 1.896)]",5,4
29,s3_2_seg30,"[('v', 0.24, 0.3), ('w', 0.34, 0.37), ('m', 0.73, 0.78), ('w', 1.52, 1.6), ('f', 2.71, 2.78), ('m', 2.96, 2.99), ('p', 3.57, 3.64)]","[('m', 0.296, 0.346), ('p', 0.346, 0.386), ('m', 0.986, 1.046), ('w', 2.716, 2.766), ('p', 3.496, 3.566), ('m', 4.256, 4.286), ('b', 4.286, 4.316)]",7,7
