file_name,num_phrases
2_10_eng_aligned_eng0002,1
2_10_eng_aligned_eng0003,1
2_10_eng_aligned_eng0005,1
2_10_eng_aligned_eng0006,1
2_10_eng_aligned_eng0008,1
2_10_eng_aligned_eng0009,1
2_10_eng_aligned_eng0011,1
2_10_eng_aligned_eng0012,1
2_10_eng_aligned_eng0013,3
2_10_eng_aligned_eng0014,1
2_10_eng_aligned_eng0016,4
2_10_eng_aligned_eng0022,2
2_10_eng_aligned_eng0024,1
2_10_eng_aligned_eng0026,1
2_10_eng_aligned_eng0028,2
2_10_eng_aligned_eng0029,1
2_10_eng_aligned_eng0030,1
2_10_eng_aligned_eng0032,2
2_10_eng_aligned_eng0034,1
2_10_eng_aligned_eng0037,1
2_10_eng_aligned_eng0038,1
2_10_eng_aligned_eng0039,1
2_10_eng_aligned_eng0041,1
2_10_eng_aligned_eng0042,1
2_10_eng_aligned_eng0043,1
2_10_eng_aligned_eng0044,2
2_10_eng_aligned_eng0045,1
2_10_eng_aligned_eng0047,1
2_10_eng_aligned_eng0050,3
2_10_eng_aligned_eng0051,1
2_10_eng_aligned_eng0053,2
2_10_eng_aligned_eng0054,1
2_10_eng_aligned_eng0055,1
2_10_eng_aligned_eng0056,1
2_10_eng_aligned_eng0057,2
2_10_eng_aligned_eng0058,1
2_10_eng_aligned_eng0059,1
2_10_eng_aligned_eng0060,1
2_10_eng_aligned_eng0061,1
2_10_eng_aligned_eng0062,1
2_10_eng_aligned_eng0065,1
2_10_eng_aligned_eng0066,1
2_10_eng_aligned_eng0067,1
2_10_eng_aligned_eng0069,1
2_10_eng_aligned_eng0070,1
2_10_eng_aligned_eng0072,1
2_10_eng_aligned_eng0073,1
2_10_eng_aligned_eng0074,2
2_10_eng_aligned_eng0076,1
2_10_eng_aligned_eng0077,1
2_10_eng_aligned_eng0078,2
2_10_eng_aligned_eng0079,1
2_10_eng_aligned_eng0080,1
2_10_eng_aligned_eng0082,2
2_10_eng_aligned_eng0083,1
2_10_eng_aligned_eng0084,1
2_10_eng_aligned_eng0086,1
2_10_eng_aligned_eng0088,3
2_10_eng_aligned_eng0089,1
2_10_eng_aligned_eng0090,1
2_10_eng_aligned_eng0091,2
2_10_eng_aligned_eng0094,1
2_10_eng_aligned_eng0096,1
2_10_eng_aligned_eng0097,1
2_10_eng_aligned_eng0098,1
2_10_eng_aligned_eng0099,1
2_10_eng_aligned_eng0101,1
2_10_eng_aligned_eng0102,1
2_10_eng_aligned_eng0103,1
2_10_eng_aligned_eng0104,1
2_10_eng_aligned_eng0105,1
2_10_eng_aligned_eng0106,1
2_10_eng_aligned_eng0107,1
2_10_eng_aligned_eng0108,1
2_10_eng_aligned_eng0109,1
2_10_eng_aligned_eng0110,1
2_10_eng_aligned_eng0111,2
2_10_eng_aligned_eng0112,1
2_10_eng_aligned_eng0113,1
2_10_eng_aligned_eng0114,1
2_10_eng_aligned_eng0116,1
2_10_eng_aligned_eng0117,2
2_10_eng_aligned_eng0118,1
2_10_eng_aligned_eng0119,2
2_10_eng_aligned_eng0120,1
2_10_eng_aligned_eng0122,1
2_10_eng_aligned_eng0123,1
2_10_eng_aligned_eng0124,2
2_10_eng_aligned_eng0125,2
2_10_eng_aligned_eng0126,1
2_10_eng_aligned_eng0128,1
2_10_eng_aligned_eng0129,2
2_10_eng_aligned_eng0132,1
2_10_eng_aligned_eng0133,1
2_10_eng_aligned_eng0134,1
2_10_eng_aligned_eng0135,1
2_10_eng_aligned_eng0137,1
2_10_eng_aligned_eng0138,1
2_10_eng_aligned_eng0139,1
2_10_eng_aligned_eng0141,2
2_10_eng_aligned_eng0142,2
2_10_eng_aligned_eng0143,1
2_10_eng_aligned_eng0144,1
2_10_eng_aligned_eng0146,1
2_10_eng_aligned_eng0147,1
2_10_eng_aligned_eng0148,1
2_10_eng_aligned_eng0151,1
2_10_eng_aligned_eng0152,2
2_10_eng_aligned_eng0156,1
2_10_eng_aligned_eng0157,1
2_10_eng_aligned_eng0158,1
2_10_eng_aligned_eng0160,1
2_10_eng_aligned_eng0161,2
2_10_eng_aligned_eng0163,2
2_10_eng_aligned_eng0165,1
2_10_eng_aligned_eng0166,2
2_10_eng_aligned_eng0168,1
2_10_eng_aligned_eng0169,1
2_10_eng_aligned_eng0171,1
2_10_eng_aligned_eng0172,2
2_10_eng_aligned_eng0173,1
2_10_eng_aligned_eng0174,1
2_10_eng_aligned_eng0177,2
2_10_eng_aligned_eng0179,1
2_10_eng_aligned_eng0180,2
2_10_eng_aligned_eng0181,1
2_10_eng_aligned_eng0182,1
2_10_eng_aligned_eng0183,1
2_10_eng_aligned_eng0184,1
2_10_eng_aligned_eng0188,1
2_10_eng_aligned_eng0189,2
2_10_eng_aligned_eng0190,1
2_10_eng_aligned_eng0192,2
2_10_eng_aligned_eng0193,2
2_10_eng_aligned_eng0195,1
2_10_eng_aligned_eng0196,1
2_10_eng_aligned_eng0197,1
2_10_eng_aligned_eng0198,1
2_10_eng_aligned_eng0199,2
2_10_eng_aligned_eng0200,2
2_10_eng_aligned_eng0203,1
2_10_eng_aligned_eng0204,1
2_10_eng_aligned_eng0205,1
2_10_eng_aligned_eng0206,1
2_10_eng_aligned_eng0208,1
2_10_eng_aligned_eng0211,1
2_10_eng_aligned_eng0212,2
2_10_eng_aligned_eng0213,1
2_10_eng_aligned_eng0214,1
2_10_eng_aligned_eng0215,1
2_10_eng_aligned_eng0216,1
2_10_eng_aligned_eng0217,1
2_10_eng_aligned_eng0219,2
2_10_eng_aligned_eng0220,1
2_10_eng_aligned_eng0221,1
2_10_eng_aligned_eng0222,1
2_10_eng_aligned_eng0223,3
2_10_eng_aligned_eng0224,1
2_10_eng_aligned_eng0225,1
2_10_eng_aligned_eng0226,1
2_10_eng_aligned_eng0227,1
2_10_eng_aligned_eng0228,2
2_10_eng_aligned_eng0230,1
2_10_eng_aligned_eng0231,1
2_10_eng_aligned_eng0234,1
2_10_eng_aligned_eng0235,1
2_10_eng_aligned_eng0236,1
2_10_eng_aligned_eng0238,2
2_10_eng_aligned_eng0240,1
2_10_eng_aligned_eng0241,1
2_10_eng_aligned_eng0244,1
2_10_eng_aligned_eng0245,2
2_10_eng_aligned_eng0246,2
2_10_eng_aligned_eng0247,1
2_10_eng_aligned_eng0248,1
2_10_eng_aligned_eng0249,1
2_10_eng_aligned_eng0250,1
2_10_eng_aligned_eng0251,1
2_10_eng_aligned_eng0252,1
2_10_eng_aligned_eng0253,1
2_10_eng_aligned_eng0254,2
2_10_eng_aligned_eng0255,1
2_10_eng_aligned_eng0256,2
2_10_eng_aligned_eng0257,2
2_10_eng_aligned_eng0259,2
2_10_eng_aligned_eng0261,1
2_10_eng_aligned_eng0262,2
2_10_eng_aligned_eng0264,1
2_10_eng_aligned_eng0265,1
2_10_eng_aligned_eng0267,1
2_10_eng_aligned_eng0269,1
2_10_eng_aligned_eng0271,1
2_10_eng_aligned_eng0272,2
2_10_eng_aligned_eng0273,1
2_10_eng_aligned_eng0274,1
2_10_eng_aligned_eng0275,2
2_10_eng_aligned_eng0276,1
2_10_eng_aligned_eng0278,1
2_10_eng_aligned_eng0279,2
2_10_eng_aligned_eng0280,2
2_10_eng_aligned_eng0281,3
2_10_eng_aligned_eng0282,1
2_10_eng_aligned_eng0283,1
2_10_eng_aligned_eng0284,1
2_10_eng_aligned_eng0285,1
2_10_eng_aligned_eng0286,1
2_10_eng_aligned_eng0287,1
2_10_eng_aligned_eng0288,1
2_10_eng_aligned_eng0289,2
2_10_eng_aligned_eng0290,1
2_10_eng_aligned_eng0292,2
2_10_eng_aligned_eng0293,2
2_10_eng_aligned_eng0294,2
2_10_eng_aligned_eng0295,1
2_10_eng_aligned_eng0296,3
2_10_eng_aligned_eng0298,2
2_10_eng_aligned_eng0299,1
