file_name,num_phrases
2_10_spa_aligned_spa0001,2
2_10_spa_aligned_spa0004,1
2_10_spa_aligned_spa0017,1
2_10_spa_aligned_spa0018,1
2_10_spa_aligned_spa0019,2
2_10_spa_aligned_spa0020,1
2_10_spa_aligned_spa0021,1
2_10_spa_aligned_spa0031,2
2_10_spa_aligned_spa0033,1
2_10_spa_aligned_spa0035,2
2_10_spa_aligned_spa0040,1
2_10_spa_aligned_spa0052,2
2_10_spa_aligned_spa0063,1
2_10_spa_aligned_spa0068,1
2_10_spa_aligned_spa0071,2
2_10_spa_aligned_spa0127,1
2_10_spa_aligned_spa0130,1
2_10_spa_aligned_spa0131,2
2_10_spa_aligned_spa0164,1
2_10_spa_aligned_spa0167,1
2_10_spa_aligned_spa0178,1
2_10_spa_aligned_spa0186,1
2_10_spa_aligned_spa0187,1
2_10_spa_aligned_spa0194,1
2_10_spa_aligned_spa0229,1
2_10_spa_aligned_spa0239,2
2_10_spa_aligned_spa0258,1
2_10_spa_aligned_spa0260,1
2_10_spa_aligned_spa0266,2
2_10_spa_aligned_spa0268,1
2_10_spa_aligned_spa0270,2
2_10_spa_aligned_spa0277,1
2_10_spa_aligned_spa0291,1
2_10_spa_aligned_spa0332,1
2_10_spa_aligned_spa0335,1
2_10_spa_aligned_spa0336,1
2_10_spa_aligned_spa0341,1
2_10_spa_aligned_spa0342,1
2_10_spa_aligned_spa0351,1
2_11_spa_aligned_spa0001,1
2_11_spa_aligned_spa0003,2
2_11_spa_aligned_spa0005,1
2_11_spa_aligned_spa0013,1
2_11_spa_aligned_spa0014,2
2_11_spa_aligned_spa0015,2
2_11_spa_aligned_spa0016,1
2_11_spa_aligned_spa0017,1
2_11_spa_aligned_spa0021,2
2_11_spa_aligned_spa0022,1
2_11_spa_aligned_spa0026,2
2_11_spa_aligned_spa0035,1
2_11_spa_aligned_spa0045,1
2_11_spa_aligned_spa0068,3
2_11_spa_aligned_spa0070,1
2_11_spa_aligned_spa0071,1
2_11_spa_aligned_spa0073,1
2_11_spa_aligned_spa0084,1
2_11_spa_aligned_spa0086,1
2_11_spa_aligned_spa0088,1
2_11_spa_aligned_spa0094,1
2_11_spa_aligned_spa0109,1
2_11_spa_aligned_spa0110,1
2_11_spa_aligned_spa0113,2
2_11_spa_aligned_spa0129,1
2_11_spa_aligned_spa0137,1
2_11_spa_aligned_spa0157,2
2_11_spa_aligned_spa0166,1
2_11_spa_aligned_spa0167,1
2_11_spa_aligned_spa0175,2
2_11_spa_aligned_spa0180,1
2_11_spa_aligned_spa0182,2
2_11_spa_aligned_spa0185,1
2_11_spa_aligned_spa0195,2
2_11_spa_aligned_spa0197,1
2_11_spa_aligned_spa0199,1
2_11_spa_aligned_spa0208,2
2_11_spa_aligned_spa0210,1
2_11_spa_aligned_spa0211,1
2_11_spa_aligned_spa0212,1
2_11_spa_aligned_spa0213,2
2_11_spa_aligned_spa0221,1
2_11_spa_aligned_spa0223,1
2_11_spa_aligned_spa0225,1
2_11_spa_aligned_spa0234,2
2_11_spa_aligned_spa0244,1
2_11_spa_aligned_spa0257,1
2_11_spa_aligned_spa0285,1
2_11_spa_aligned_spa0289,1
2_11_spa_aligned_spa0295,2
2_11_spa_aligned_spa0298,3
2_11_spa_aligned_spa0299,1
2_11_spa_aligned_spa0300,3
2_11_spa_aligned_spa0301,1
2_11_spa_aligned_spa0302,1
2_11_spa_aligned_spa0303,1
2_11_spa_aligned_spa0304,1
2_11_spa_aligned_spa0305,1
2_11_spa_aligned_spa0307,1
2_11_spa_aligned_spa0316,1
2_11_spa_aligned_spa0317,2
2_11_spa_aligned_spa0324,1
2_11_spa_aligned_spa0333,2
2_11_spa_aligned_spa0344,1
2_11_spa_aligned_spa0346,1
2_11_spa_aligned_spa0347,2
2_11_spa_aligned_spa0349,2
2_11_spa_aligned_spa0351,3
2_11_spa_aligned_spa0352,1
2_11_spa_aligned_spa0354,1
